Order ID,Product ID,Quantity,Cust ID,Order Date
1000,P155,62,C121,22-Mar-20
1001,P125,30,C110,10-Nov-21
1002,P154,74,C105,18-May-20
1003,P122,57,C116,12-May-20
1004,P127,57,C108,14-Mar-21
1005,P115,39,C126,5-Feb-20
1006,P150,60,C113,7-Feb-22
1007,P126,30,C105,28-Feb-21
1008,P149,66,C122,21-Jul-22
1009,P112,23,C110,31-Dec-19
1010,P148,32,C117,19-Apr-21
1011,P154,27,C112,1-Apr-21
1012,P121,47,C118,28-Jun-20
1013,P119,46,C124,29-Aug-19
1014,P143,22,C119,13-May-21
1015,P133,22,C104,29-Apr-20
1016,P127,39,C103,21-May-21
1017,P119,41,C103,8-Jan-20
1018,P156,18,C125,19-Jun-20
1019,P140,50,C104,7-Nov-19
1020,P137,32,C112,10-Sep-20
1021,P140,57,C115,26-Jan-21
1022,P148,71,C122,9-Aug-21
1023,P116,30,C104,7-Jan-20
1024,P127,52,C104,20-Mar-22
1025,P128,53,C117,29-Nov-20
1026,P135,36,C114,18-Feb-21
1027,P152,70,C121,30-Jun-21
1028,P151,68,C117,6-Oct-20
1029,P114,44,C114,20-May-22
1030,P121,69,C112,26-May-20
1031,P139,66,C116,1-Mar-20
1032,P155,30,C102,17-Sep-21
1033,P133,56,C121,3-Dec-19
1034,P116,74,C108,6-May-21
1035,P111,70,C121,18-Apr-21
1036,P138,24,C104,21-May-21
1037,P144,46,C105,21-Mar-22
1038,P138,75,C113,27-Apr-21
1039,P144,40,C117,9-Mar-21
1040,P124,66,C112,3-Oct-21
1041,P122,19,C111,27-May-20
1042,P111,52,C121,17-Dec-20
1043,P154,52,C126,4-Feb-20
1044,P151,23,C122,2-Dec-21
1045,P112,35,C111,11-Feb-20
1046,P114,54,C120,20-Apr-20
1047,P130,71,C111,22-Jun-20
1048,P139,62,C114,23-Apr-20
1049,P128,41,C106,8-Dec-20
1050,P120,68,C108,30-Oct-21
1051,P134,23,C101,14-Apr-20
1052,P139,59,C115,30-Oct-21
1053,P151,38,C113,26-Feb-20
1054,P138,32,C119,6-Jul-20
1055,P117,31,C124,9-Jul-20
1056,P158,32,C119,20-Feb-20
1057,P129,47,C112,5-Dec-19
1058,P116,72,C114,30-Mar-21
1059,P132,66,C109,22-Jan-22
1060,P127,72,C108,26-Aug-21
1061,P122,64,C119,27-Mar-22
1062,P130,54,C115,25-Feb-20
1063,P123,46,C107,8-Dec-19
1064,P119,23,C102,29-Nov-19
1065,P145,17,C117,1-Aug-20
1066,P123,38,C116,28-Jan-21
1067,P114,46,C106,3-Jun-22
1068,P115,65,C115,9-Sep-20
1069,P119,52,C119,6-Dec-20
1070,P141,45,C117,21-Sep-21
1071,P155,52,C106,22-Nov-21
1072,P149,48,C107,25-Oct-21
1073,P125,26,C123,31-Aug-19
1074,P148,52,C113,1-Jan-22
1075,P144,40,C112,25-Jun-22
1076,P127,45,C110,21-Nov-19
1077,P116,38,C114,30-Apr-21
1078,P114,56,C105,6-Mar-22
1079,P124,36,C118,12-Jun-21
1080,P140,29,C108,22-Sep-19
1081,P137,57,C114,20-Dec-21
1082,P122,19,C126,10-May-22
1083,P142,43,C122,6-May-21
